time,sum_entries_exits
2010-04-17,1656766474.0
2010-04-18,1988477844.0
2010-04-19,1988856202.0
2010-04-20,1989613332.0
2010-04-21,2314461723.0
2010-04-22,1959404783.0
2010-04-23,1948870263.0
2010-04-24,276932628.0
2010-05-01,1620840014.0
2010-05-02,1930001702.0
2010-05-03,1954460295.0
2010-05-04,1943165802.0
2010-05-05,1979803861.0
2010-05-06,1971049954.0
2010-05-07,1974593156.0
2010-05-08,1972487190.0
2010-05-09,1972855277.0
2010-05-10,2051636438.0
2010-05-11,1882387419.0
2010-05-12,1980997399.0
2010-05-13,1988390697.0
2010-05-14,1997084476.0
2010-05-15,286328743.0
2010-05-22,1647358519.0
2010-05-23,2011553573.0
2010-05-24,1982077306.0
2010-05-25,2139820914.0
2010-05-26,2012293462.0
2010-05-27,1974014021.0
2010-05-28,1977704333.0
2010-05-29,1980926575.0
2010-05-30,2015846011.0
2010-05-31,1946227584.0
2010-06-01,1999477750.0
2010-06-02,1957096749.0
2010-06-03,1971224404.0
2010-06-04,1818767934.0
2010-06-05,1916962717.0
2010-06-06,2019719624.0
2010-06-07,2062554558.0
2010-06-08,1983617974.0
2010-06-09,2000796239.0
2010-06-10,1994494332.0
2010-06-11,1946233513.0
2010-06-12,1865413990.0
2010-06-13,2019949946.0
2010-06-14,2028079673.0
2010-06-15,2069886809.0
2010-06-16,1933883777.0
2010-06-17,2042941740.0
2010-06-18,2014944285.0
2010-06-19,2025740448.0
2010-06-20,1982464588.0
2010-06-21,1941203085.0
2010-06-22,1800150058.0
2010-06-23,1888954291.0
2010-06-24,2031515430.0
2010-06-25,2045357160.0
2010-06-26,1982536386.0
2010-06-27,2021670522.0
2010-06-28,2138188051.0
2010-06-29,2033623127.0
2010-06-30,1958541728.0
2010-07-01,2045476361.0
2010-07-02,2010973625.0
2010-07-03,2029266348.0
2010-07-04,2021887056.0
2010-07-05,2052879043.0
2010-07-06,2046691283.0
2010-07-07,2050578306.0
2010-07-08,2051285311.0
2010-07-09,2069575270.0
2010-07-10,2040248788.0
2010-07-11,1956669506.0
2010-07-12,1804944972.0
2010-07-13,2022885008.0
2010-07-14,1928193278.0
2010-07-15,1878929110.0
2010-07-16,1918215346.0
2010-07-17,2044342823.0
2010-07-18,2044673192.0
2010-07-19,2045011723.0
2010-07-20,1983618580.0
2010-07-21,2046436907.0
2010-07-22,2005310000.0
2010-07-23,1830137683.0
2010-07-24,1897759018.0
2010-07-25,2048762805.0
2010-07-26,1987202742.0
2010-07-27,2049761798.0
2010-07-28,1970022059.0
2010-07-29,2051249510.0
2010-07-30,1735660494.0
2010-07-31,1943266186.0
2010-08-01,2052891542.0
2010-08-02,2015170629.0
2010-08-03,2045042807.0
2010-08-04,1946945055.0
2010-08-05,2055311560.0
2010-08-06,1907549472.0
2010-08-07,2051278398.0
2010-08-08,2056881378.0
2010-08-09,2073019914.0
2010-08-10,1931133296.0
2010-08-11,2054775340.0
2010-08-12,2134860227.0
2010-08-13,1975876940.0
2010-08-14,2004774844.0
2010-08-15,2060812122.0
2010-08-16,2069496944.0
2010-08-17,2026427395.0
2010-08-18,2038419826.0
2010-08-19,2085749711.0
2010-08-20,1999036209.0
2010-08-21,2061111691.0
2010-08-22,1980192983.0
2010-08-23,2132072791.0
2010-08-24,2103913646.0
2010-08-25,1749176754.0
2010-08-26,2067186682.0
2010-08-27,2051591392.0
2010-08-28,2052177086.0
2010-08-29,2046771202.0
2010-08-30,2125760382.0
2010-08-31,1924164538.0
2010-09-01,2028355035.0
2010-09-02,2042473946.0
2010-09-03,2055774195.0
2010-09-04,1950496304.0
2010-09-05,2043851008.0
2010-09-06,2054010092.0
2010-09-07,1964142839.0
2010-09-08,1859734447.0
2010-09-09,1855012900.0
2010-09-10,2005753769.0
2010-09-11,2059996550.0
2010-09-12,2060367371.0
2010-09-13,2157503484.0
2010-09-14,2112038867.0
2010-09-15,2074327178.0
2010-09-16,2014280019.0
2010-09-17,2030236591.0
2010-09-18,2045929254.0
2010-09-19,2064948864.0
2010-09-20,2118639250.0
2010-09-21,1944905540.0
2010-09-22,2066965525.0
2010-09-23,2067811498.0
2010-09-24,2068655206.0
2010-09-25,1870181744.0
2010-09-26,1955422172.0
2010-09-27,2119562324.0
2010-09-28,2018369236.0
2010-09-29,1781239460.0
2010-09-30,1985517184.0
2010-10-01,1977359567.0
2010-10-02,2030191086.0
2010-10-03,2041589967.0
2010-10-04,2069791282.0
2010-10-05,2118676934.0
2010-10-06,2061265481.0
2010-10-07,2036796885.0
2010-10-08,1793750424.0
2010-10-09,1969922902.0
2010-10-10,2058949763.0
2010-10-11,2135503567.0
2010-10-12,2023817786.0
2010-10-13,2008502677.0
2010-10-14,1977462930.0
2010-10-15,2090553871.0
2010-10-16,2063030321.0
2010-10-17,2038596489.0
2010-10-18,2239401704.0
2010-10-19,2118063234.0
2010-10-20,1871942058.0
2010-10-21,1989451197.0
2010-10-22,2115452663.0
2010-10-23,2067731464.0
2010-10-24,2068095700.0
2010-10-25,1915944708.0
2010-10-26,2035496814.0
2010-10-27,2023280805.0
2010-10-28,2025050448.0
2010-10-29,2071737457.0
2010-10-30,2072443395.0
2010-10-31,2056593401.0
2010-11-01,2109484301.0
2010-11-02,2018324025.0
2010-11-03,2088959573.0
2010-11-04,2082219668.0
2010-11-05,1836826397.0
2010-11-06,2002135276.0
2010-11-07,1972728325.0
2010-11-08,2114217278.0
2010-11-09,2031974306.0
2010-11-10,2125474835.0
2010-11-11,2077239011.0
2010-11-12,2078034422.0
2010-11-13,2081868410.0
2010-11-14,2082285066.0
2010-11-15,2159723682.0
2010-11-16,2205501448.0
2010-11-17,2084257568.0
2010-11-18,2020263194.0
2010-11-19,1887533469.0
2010-11-20,1971599772.0
2010-11-21,2076486125.0
2010-11-22,2031875898.0
2010-11-23,2086334277.0
2010-11-24,2135829014.0
2010-11-25,2106523519.0
2010-11-26,2089818937.0
2010-11-27,2048453786.0
2010-11-28,2102110535.0
2010-11-29,1833719575.0
2010-11-30,1941703051.0
2010-12-01,2032467483.0
2010-12-02,2009078398.0
2010-12-03,1977563025.0
2010-12-04,2114741960.0
2010-12-05,2095381506.0
2010-12-06,2186551890.0
2010-12-07,2078931125.0
2010-12-08,2023424814.0
2010-12-09,2260328831.0
2010-12-10,2093785508.0
2010-12-11,2086645506.0
2010-12-12,1921803852.0
2010-12-13,1949800089.0
2010-12-14,2033395071.0
2010-12-15,2150401502.0
2010-12-16,2176108669.0
2010-12-17,2136396347.0
2010-12-18,2037536211.0
2010-12-19,2105678594.0
2010-12-20,2168291600.0
2010-12-21,2169150217.0
2010-12-22,2106641446.0
2010-12-23,2233770110.0
2010-12-24,2107849818.0
2010-12-25,2108107166.0
2010-12-26,2108239391.0
2010-12-27,2132840754.0
2010-12-28,2322207013.0
2010-12-29,2125423091.0
2010-12-30,1836526466.0
2010-12-31,2147839008.0
2011-01-01,2110830473.0
2011-01-02,2049095727.0
2011-01-03,2123448734.0
2011-01-04,2123739020.0
2011-01-05,2036612938.0
2011-01-06,2002703107.0
2011-01-07,2147115471.0
2011-01-08,2114820273.0
2011-01-09,2088739325.0
2011-01-10,2182274997.0
2011-01-11,2129067087.0
2011-01-12,2005242658.0
2011-01-13,2034239745.0
2011-01-14,2074104919.0
2011-01-15,2020997207.0
2011-01-16,2087699095.0
2011-01-17,2183950199.0
2011-01-18,2274037692.0
2011-01-19,2118522609.0
2011-01-20,2040812535.0
2011-01-21,2111255716.0
2011-01-22,2122923864.0
2011-01-23,2051233192.0
2011-01-24,2175958747.0
2011-01-25,2429207111.0
2011-01-26,2156078199.0
2011-01-27,1793111500.0
2011-01-28,1897523148.0
2011-01-29,2125923258.0
2011-01-30,2127290185.0
2011-01-31,2249658503.0
2011-02-01,2414951127.0
2011-02-02,2259716805.0
2011-02-03,1988789418.0
2011-02-04,1914287149.0
2011-02-05,1932410247.0
2011-02-06,2116785285.0
2011-02-07,2143655001.0
2011-02-08,2227851271.0
2011-02-09,2114749481.0
2011-02-10,1934413768.0
2011-02-11,2249154958.0
2011-02-12,2136232349.0
2011-02-13,2136620546.0
2011-02-14,2475768826.0
2011-02-15,2247406525.0
2011-02-16,2038431099.0
2011-02-17,2073110684.0
2011-02-18,2122846580.0
2011-02-19,2140896335.0
2011-02-20,2080285804.0
2011-02-21,2093990553.0
2011-02-22,2265141891.0
2011-02-23,2095861344.0
2011-02-24,2027489598.0
2011-02-25,2160985000.0
2011-02-26,2144869076.0
2011-02-27,2145239547.0
2011-02-28,2170200468.0
2011-03-01,2433559313.0
2011-03-02,2195493365.0
2011-03-03,1947573885.0
2011-03-04,2115905262.0
2011-03-05,2105521586.0
2011-03-06,2149869377.0
2011-03-07,2140815919.0
2011-03-08,1979197636.0
2011-03-09,2076899506.0
2011-03-10,2119516467.0
2011-03-11,2216483097.0
2011-03-12,2154130647.0
2011-03-13,2178901235.0
2011-03-14,2118058414.0
2011-03-15,2144927860.0
2011-03-16,2156451509.0
2011-03-17,2050834883.0
2011-03-18,2171772031.0
2011-03-19,2150260156.0
2011-03-20,2159221924.0
2011-03-21,2054267011.0
2011-03-22,2138742840.0
2011-03-23,2101804972.0
2011-03-24,2106006013.0
2011-03-25,2131822194.0
2011-03-26,2142648093.0
2011-03-27,2138431123.0
2011-03-28,2006032558.0
2011-03-29,1670554228.0
2011-03-30,2137181637.0
2011-03-31,2184337133.0
2011-04-01,2167585526.0
2011-04-02,2168282422.0
2011-04-03,2168688684.0
2011-04-04,2279061912.0
2011-04-05,1935805955.0
2011-04-06,2120507852.0
2011-04-07,2125049380.0
2011-04-08,2155682368.0
2011-04-09,2131951320.0
2011-04-10,2104601965.0
2011-04-11,2241321720.0
2011-04-12,2052933835.0
2011-04-13,2107426748.0
2011-04-14,2182689916.0
2011-04-15,2154676944.0
2011-04-16,2166517152.0
2011-04-17,2177982877.0
2011-04-18,2443798780.0
2011-04-19,1876710273.0
2011-04-20,2057249438.0
2011-04-21,2075453359.0
2011-04-22,2091100633.0
2011-04-23,2052236968.0
2011-04-24,2052548140.0
2011-04-25,2067041319.0
2011-04-26,2133994247.0
2011-04-27,2166974991.0
2011-04-28,2160122030.0
2011-04-29,2887450004.0
2011-04-30,2126568427.0
2011-05-01,2114609684.0
2011-05-02,2435493028.0
2011-05-03,2057720725.0
2011-05-04,2025104086.0
2011-05-05,2086865250.0
2011-05-06,2203879329.0
2011-05-07,2190749941.0
2011-05-08,2191151805.0
2011-05-09,2155320494.0
2011-05-10,2106127638.0
2011-05-11,2193099896.0
2011-05-12,2164301685.0
2011-05-13,2157130503.0
2011-05-14,2150266784.0
2011-05-15,2195795533.0
2011-05-16,2145558982.0
2011-05-17,2144191462.0
2011-05-18,2118228784.0
2011-05-19,2206344006.0
2011-05-20,2199387817.0
2011-05-21,2200083737.0
2011-05-22,2200463099.0
2011-05-23,2325888669.0
2011-05-24,2160052390.0
2011-05-25,2111051534.0
